fullname,type,description
do_nothing_sales,FLOAT,Base forecast sales for current mod items  ( used to report financials)
do_nothing_units,FLOAT,Base forecast units for current mod items  ( used to report financials)
Max_Nominal_Demand,FLOAT,
Nominal_Demand_MinFacing,FLOAT,
abs_demand_transferred,FLOAT,demand times demand-transferred-to-substitutes
national_productivity_rank,INTEGER,rank of an item based on nominal demand per inch at national level (considering the sum of nominal demand per inch across all stores)
avg_national_productivity_rank,INTEGER,same as national_productivity_rank - in this case average of nominal demand is used
in_store_unit_rank,INTEGER,Rank order of an item based on total units in that store
Explanation,STRING,an elaborate explanation of the reasons for the recommendation
modlr_catg_desc,STRING,mod category description
facings_rec_details,STRING,explanation for change in number of facings
